"base_value_quasi","b_value_quasi","w_value_quasi","b_quasi","w_quasi","r_quasi","m_quasi","dist_w_quasi"
0.509443880090886,1,0.0983914858326371,1,1,0.0588637724544238,0.0198294405906199,0.509443880090886
1.15377672278674,1,0.0971209128473523,1,1,0.00288916222261824,0.0140867379329992,1.15377672278674
0.999697942585557,1,0.0909701321533354,1,1,0.00428300234867863,0.0227577159079635,0.999697942585557
0.445582258851988,1,0.0711477480367162,1,1,0.00727240342649228,0.0154185312356935,0.445582258851988
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
1.4126798332608,1,0.0895223265790097,1,1,0.0146803619019559,0.014251508618158,1.4126798332608
0.552722667098256,1,0.0801056924284127,1,1,0.0121300724099773,0.0149211319240408,0.552722667098256
0.449150775791827,1,0.110428067504878,1,1,0.00453674993328558,0.0186254964419167,0.449150775791827
0.236533856462816,1,0.0733532671709585,1,1,0.00475543863492289,0.0156864054423088,0.236533856462816
0.249721086073331,1,0.0912510285166093,1,1,0.00363513843439592,0.0188073880376353,0.249721086073331
0.28749478198977,1,0.0908901058888309,1,1,0.0376427642354229,0.0161106780414381,0.28749478198977
